ItemList,DocumentNumber,SumberFile
"FM1450, FM1940","","Double Layer Digitalisasi [Parameter Setting]"
"MS-0230","","CHS 3 Layer DIG [Master 1]"
"NA1640","","Double Layer Digitalisasi [Parameter Setting]"
"NA1850","","CHS 2 Layer DIG [Parameter Setting]"
"NA2120,NA2060","","Double Layer [Parameter Setting]"
"NA2140","","Double Layer [Parameter Setting]"
"NA2661","","Double Layer [Parameter Setting]"
"NA3220, NA3230, NA3240,
NA3250,NA3260","","Double Layer Digitalisasi [Parameter Setting]"
"PM1270,PM1230,PM1280","","CHS 2 Layer DIG [Parameter Setting]"
"TA-0570","","Double Layer Digitalisasi [Parameter Setting]"
"TA-PM1460","","Double Layer Digitalisasi [Parameter Setting]"
"TA1710,TA1520,TA2510,TA2500","","Double Layer Digitalisasi [Parameter Setting]"
"FM1450, FM1940","#REF!","Double Layer [Parameter Setting]"
"PM1510","#REF!","Double Layer [Parameter Setting]"
"","-","Double Layer [Parameter Setting]"
"NA2900,NA1580,NA1610","-","CHS 2 Layer DIG [Parameter Setting]"
"51","4","Double Layer Digitalisasi [Digitalisasi]; Double Layer Digitalisasi [Parameter Setting]; Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"90","4","CHS 2 Layer DIG [Parameter Setting]"
"Item","4","CHS 3 Layer DIG [Master 1]"
"TA3060","SOP/ENG/25/02/12","CHS 2 Layer DIG [Parameter Setting]"
"NA 204, NA 205","SOP/ENG/25/02/13","Double Layer Digitalisasi [Parameter Setting]; Double Layer [Parameter Setting]"
"NA1570,TA-3040","SOP/ENG/25/02/14","Double Layer Digitalisasi [Parameter Setting]; Double Layer [Parameter Setting]"
"NA3220, NA3230, NA3240,
NA3250,NA3260","SOP/ENG/26/04/10","Double Layer [Parameter Setting]"
"TA-1090,TA-1732,TA-1733,TA-1741,TA-2531,TA-2580","SOP/ENG/26/1/1","CHS 3 Layer DIG [Master 1]"
"NA3080,NA3110","SOP/PROD","CHS 2 Layer DIG [Parameter Setting]"
"TA1440,TA1470,TA1430,TA1460","SOP/PROD/HOSE/24/10/038","CHS 2 Layer DIG [Parameter Setting]"
"TA1440,TA1470,TA1430,TA1460","SOP/PROD/HOSE/24/10/039","CHS 2 Layer DIG [Parameter Setting]"
"TA1340,TA1350,TA1420,TA1450,TA2633,TA2634,TA2640,TA2650,TA2660","SOP/PROD/HOSE/24/10/040","CHS 2 Layer DIG [Parameter Setting]"
"NA1440,NA1430","SOP/PROD/HOSE/24/10/041","CHS 2 Layer DIG [Parameter Setting]"
"NA1450,NA1860,TA1790,TA300,TA3100,TA3050,TA3060","SOP/PROD/HOSE/24/10/042","CHS 2 Layer DIG [Parameter Setting]"
"TA1780,TA2120","SOP/PROD/HOSE/24/10/043","CHS 2 Layer DIG [Parameter Setting]"
"NA1420,NA1480","SOP/PROD/HOSE/24/10/044","CHS 2 Layer DIG [Parameter Setting]"
"NA1830,NA2180,NA2630,NA2680,NA2740,NA2750,NA3000,NA3030,NA3040,TA1830","SOP/PROD/HOSE/24/10/046","CHS 2 Layer DIG [Parameter Setting]"
"TA1773,TA1774,TA1890,TA2631,TA2632,TA2670,TA2680,TA2690,TA2700,TA2711,TA2712","SOP/PROD/HOSE/24/10/047","CHS 2 Layer DIG [Parameter Setting]"
"NA1460,NA1470,NA1870,NA1880,NA1900,NA1910,NA1890,NA1920,NA2090,NA2100,NA2150,NA2190,NA2200,NA2210,NA2230,NA2240,NA2250,NA2320,NA2330,NA2400,NA2410,TA2770,NA2800,NA2830,NA2920,NA2930,NA2950,NA2960,NA2970,NA3070,NA3090,NA3120,NA3150,NA3280,NA3291,NA3292,NA3300,NA3301,NA3320,NA3370,TA1040,TA1050,TA2750,TA2770,TA2830,TA2840,TA2850,TA2860,TA2870,TA2880","SOP/PROD/HOSE/24/10/048","CHS 2 Layer DIG [Parameter Setting]"
"TA1771,TA1772","SOP/PROD/HOSE/24/10/049","CHS 2 Layer DIG [Parameter Setting]"
"TA1680,TA1690","SOP/PROD/HOSE/24/10/051","CHS 2 Layer DIG [Parameter Setting]"
"NA2900,NA1580,NA1610","SOP/PROD/HOSE/24/10/052","CHS 2 Layer DIG [Parameter Setting]"
"NA1450,NA1860,TA1790,TA300,TA3100,TA3050,TA3060","SOP/PROD/HOSE/24/10/055","CHS 2 Layer DIG [Parameter Setting]"
"TA-1490,NA-2031","SOP/PROD/HOSE/24/10/056","CHS 3 Layer DIG [Master 1]"
"NA-2700,NA-2810,NA-2990,TA-0804,TA-0811,TA-121A,TA-136A,TA-148A,TA-1551,TA-1561,TA-1800,TA-1810,TA-1980,TA-198A,TA-199A,TA-2005,TA-2950","SOP/PROD/HOSE/24/10/057","CHS 3 Layer DIG [Master 1]"
"TA-1371,TA-1372,TA-1731,TA-1742,TA-1941,TA-1942,TA-1950,TA-2521,TA-2522,TA-2532,TA-2541,TA-2542,TA-2551,TA-2552","SOP/PROD/HOSE/24/10/058","CHS 3 Layer DIG [Master 1]"
"TA-1380","SOP/PROD/HOSE/24/10/059","CHS 3 Layer DIG [Master 1]"
"HN-0140,HN-0220,HN-0230","SOP/PROD/HOSE/24/10/060","CHS 3 Layer DIG [Master 1]"
"TA-0801,TA-0802,TA-0803,TA-0812,TA-0813,TA-1070,TA-1130,TA-1150,TA-1170,TA-1190,TA-1240,TA-1250,TA-1410,TA-1552,TA-1553,TA-1554,TA-1562,TA-1563,TA-1564,TA-1610,TA-1620,TA-1630,TA-1650,TA-1640,TA-2001,TA-2002,TA-2003,TA-2004,TA-2005,TA-2010,TA-2020,TA-2030,TA-2721,TA-2722,TA-2730","SOP/PROD/HOSE/24/10/061","CHS 3 Layer DIG [Master 1]"
"TA-0801,TA-0802,TA-0803,TA-0812,TA-0813,TA-1070,TA-1130,TA-1150,TA-1170,TA-1190,TA-1240,TA-1250,TA-1410,TA-1552,TA-1553,TA-1554,TA-1562,TA-1563,TA-1564,TA-1610,TA-1620,TA-1630,TA-1650,TA-1640,TA-2001,TA-2002,TA-2003,TA-2004,TA-2005,TA-2010,TA-2020,TA-2030,TA-2721,TA-2722,TA-2730","SOP/PROD/HOSE/24/10/062","CHS 3 Layer DIG [Master 1]"
"TA-0801,TA-0802,TA-0803,TA-0812,TA-0813,TA-1070,TA-1130,TA-1150,TA-1170,TA-1190,TA-1240,TA-1250,TA-1410,TA-1552,TA-1553,TA-1554,TA-1562,TA-1563,TA-1564,TA-1610,TA-1620,TA-1630,TA-1650,TA-1640,TA-2001,TA-2002,TA-2003,TA-2004,TA-2005,TA-2010,TA-2020,TA-2030,TA-2721,TA-2722,TA-2730","SOP/PROD/HOSE/24/10/063","CHS 3 Layer DIG [Master 1]"
"TA-1541,TA-1542,TA-1571,TA-1572,TA-1581,TA-1582,TA-1600","SOP/PROD/HOSE/24/10/064","CHS 3 Layer DIG [Master 1]"
"HN-0150,HN-0160,HN-0170,HN,0240","SOP/PROD/HOSE/24/10/065","CHS 3 Layer DIG [Master 1]"
"TA-1090,TA-1732,TA-1733,TA-1741,TA-2531,TA-2580","SOP/PROD/HOSE/24/10/066","CHS 3 Layer DIG [Master 1]"
